"GEO","TIME","CURRENCY","PROD_ANI","Value"
"Belgium","2000","Euro","Horses - prices per 100 kg live weight",":"
"Bulgaria","2000","Euro","Horses - prices per 100 kg live weight",":"
"Czechia","2000","Euro","Horses - prices per 100 kg live weight",":"
"Denmark","2000","Euro","Horses - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2000","Euro","Horses - prices per 100 kg live weight",":"
"Estonia","2000","Euro","Horses - prices per 100 kg live weight",":"
"Ireland","2000","Euro","Horses - prices per 100 kg live weight",":"
"Greece","2000","Euro","Horses - prices per 100 kg live weight",":"
"Spain","2000","Euro","Horses - prices per 100 kg live weight","129.86"
"France","2000","Euro","Horses - prices per 100 kg live weight",":"
"Croatia","2000","Euro","Horses - prices per 100 kg live weight",":"
"Italy","2000","Euro","Horses - prices per 100 kg live weight",":"
"Cyprus","2000","Euro","Horses - prices per 100 kg live weight",":"
"Latvia","2000","Euro","Horses - prices per 100 kg live weight","97.46"
"Lithuania","2000","Euro","Horses - prices per 100 kg live weight","76.67"
"Luxembourg","2000","Euro","Horses - prices per 100 kg live weight",":"
"Hungary","2000","Euro","Horses - prices per 100 kg live weight","110.87"
"Malta","2000","Euro","Horses - prices per 100 kg live weight","185.60"
"Netherlands","2000","Euro","Horses - prices per 100 kg live weight","94.90"
"Austria","2000","Euro","Horses - prices per 100 kg live weight","80.00"
"Poland","2000","Euro","Horses - prices per 100 kg live weight","126.86"
"Portugal","2000","Euro","Horses - prices per 100 kg live weight",":"
"Romania","2000","Euro","Horses - prices per 100 kg live weight",":"
"Slovenia","2000","Euro","Horses - prices per 100 kg live weight","159.70"
"Slovakia","2000","Euro","Horses - prices per 100 kg live weight","61.83"
"Finland","2000","Euro","Horses - prices per 100 kg live weight",":"
"Sweden","2000","Euro","Horses - prices per 100 kg live weight",":"
"United Kingdom","2000","Euro","Horses - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2000","Euro","Horses - prices per 100 kg live weight",":"
"Belgium","2001","Euro","Horses - prices per 100 kg live weight",":"
"Bulgaria","2001","Euro","Horses - prices per 100 kg live weight","98.38"
"Czechia","2001","Euro","Horses - prices per 100 kg live weight",":"
"Denmark","2001","Euro","Horses - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2001","Euro","Horses - prices per 100 kg live weight",":"
"Estonia","2001","Euro","Horses - prices per 100 kg live weight",":"
"Ireland","2001","Euro","Horses - prices per 100 kg live weight",":"
"Greece","2001","Euro","Horses - prices per 100 kg live weight",":"
"Spain","2001","Euro","Horses - prices per 100 kg live weight","93.42"
"France","2001","Euro","Horses - prices per 100 kg live weight",":"
"Croatia","2001","Euro","Horses - prices per 100 kg live weight",":"
"Italy","2001","Euro","Horses - prices per 100 kg live weight",":"
"Cyprus","2001","Euro","Horses - prices per 100 kg live weight",":"
"Latvia","2001","Euro","Horses - prices per 100 kg live weight","117.66"
"Lithuania","2001","Euro","Horses - prices per 100 kg live weight","104.10"
"Luxembourg","2001","Euro","Horses - prices per 100 kg live weight",":"
"Hungary","2001","Euro","Horses - prices per 100 kg live weight","147.36"
"Malta","2001","Euro","Horses - prices per 100 kg live weight","198.51"
"Netherlands","2001","Euro","Horses - prices per 100 kg live weight","110.55"
"Austria","2001","Euro","Horses - prices per 100 kg live weight","96.00"
"Poland","2001","Euro","Horses - prices per 100 kg live weight","166.70"
"Portugal","2001","Euro","Horses - prices per 100 kg live weight",":"
"Romania","2001","Euro","Horses - prices per 100 kg live weight",":"
"Slovenia","2001","Euro","Horses - prices per 100 kg live weight","196.13"
"Slovakia","2001","Euro","Horses - prices per 100 kg live weight","70.85"
"Finland","2001","Euro","Horses - prices per 100 kg live weight",":"
"Sweden","2001","Euro","Horses - prices per 100 kg live weight",":"
"United Kingdom","2001","Euro","Horses - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2001","Euro","Horses - prices per 100 kg live weight",":"
"Belgium","2002","Euro","Horses - prices per 100 kg live weight",":"
"Bulgaria","2002","Euro","Horses - prices per 100 kg live weight","76.95"
"Czechia","2002","Euro","Horses - prices per 100 kg live weight",":"
"Denmark","2002","Euro","Horses - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2002","Euro","Horses - prices per 100 kg live weight",":"
"Estonia","2002","Euro","Horses - prices per 100 kg live weight",":"
"Ireland","2002","Euro","Horses - prices per 100 kg live weight",":"
"Greece","2002","Euro","Horses - prices per 100 kg live weight",":"
"Spain","2002","Euro","Horses - prices per 100 kg live weight","153.01"
"France","2002","Euro","Horses - prices per 100 kg live weight",":"
"Croatia","2002","Euro","Horses - prices per 100 kg live weight",":"
"Italy","2002","Euro","Horses - prices per 100 kg live weight",":"
"Cyprus","2002","Euro","Horses - prices per 100 kg live weight",":"
"Latvia","2002","Euro","Horses - prices per 100 kg live weight","138.04"
"Lithuania","2002","Euro","Horses - prices per 100 kg live weight","120.83"
"Luxembourg","2002","Euro","Horses - prices per 100 kg live weight",":"
"Hungary","2002","Euro","Horses - prices per 100 kg live weight","172.29"
"Malta","2002","Euro","Horses - prices per 100 kg live weight","195.65"
"Netherlands","2002","Euro","Horses - prices per 100 kg live weight","88.25"
"Austria","2002","Euro","Horses - prices per 100 kg live weight","103.00"
"Poland","2002","Euro","Horses - prices per 100 kg live weight","156.32"
"Portugal","2002","Euro","Horses - prices per 100 kg live weight",":"
"Romania","2002","Euro","Horses - prices per 100 kg live weight",":"
"Slovenia","2002","Euro","Horses - prices per 100 kg live weight","206.66"
"Slovakia","2002","Euro","Horses - prices per 100 kg live weight","86.24"
"Finland","2002","Euro","Horses - prices per 100 kg live weight",":"
"Sweden","2002","Euro","Horses - prices per 100 kg live weight",":"
"United Kingdom","2002","Euro","Horses - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2002","Euro","Horses - prices per 100 kg live weight",":"
"Belgium","2003","Euro","Horses - prices per 100 kg live weight",":"
"Bulgaria","2003","Euro","Horses - prices per 100 kg live weight",":"
"Czechia","2003","Euro","Horses - prices per 100 kg live weight",":"
"Denmark","2003","Euro","Horses - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2003","Euro","Horses - prices per 100 kg live weight",":"
"Estonia","2003","Euro","Horses - prices per 100 kg live weight",":"
"Ireland","2003","Euro","Horses - prices per 100 kg live weight",":"
"Greece","2003","Euro","Horses - prices per 100 kg live weight",":"
"Spain","2003","Euro","Horses - prices per 100 kg live weight","158.64"
"France","2003","Euro","Horses - prices per 100 kg live weight",":"
"Croatia","2003","Euro","Horses - prices per 100 kg live weight",":"
"Italy","2003","Euro","Horses - prices per 100 kg live weight",":"
"Cyprus","2003","Euro","Horses - prices per 100 kg live weight",":"
"Latvia","2003","Euro","Horses - prices per 100 kg live weight","133.14"
"Lithuania","2003","Euro","Horses - prices per 100 kg live weight",":"
"Luxembourg","2003","Euro","Horses - prices per 100 kg live weight",":"
"Hungary","2003","Euro","Horses - prices per 100 kg live weight","157.03"
"Malta","2003","Euro","Horses - prices per 100 kg live weight","187.75"
"Netherlands","2003","Euro","Horses - prices per 100 kg live weight","83.05"
"Austria","2003","Euro","Horses - prices per 100 kg live weight","111.00"
"Poland","2003","Euro","Horses - prices per 100 kg live weight","128.65"
"Portugal","2003","Euro","Horses - prices per 100 kg live weight",":"
"Romania","2003","Euro","Horses - prices per 100 kg live weight",":"
"Slovenia","2003","Euro","Horses - prices per 100 kg live weight","167.75"
"Slovakia","2003","Euro","Horses - prices per 100 kg live weight","79.88"
"Finland","2003","Euro","Horses - prices per 100 kg live weight",":"
"Sweden","2003","Euro","Horses - prices per 100 kg live weight",":"
"United Kingdom","2003","Euro","Horses - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2003","Euro","Horses - prices per 100 kg live weight",":"
"Belgium","2004","Euro","Horses - prices per 100 kg live weight","195.62"
"Bulgaria","2004","Euro","Horses - prices per 100 kg live weight",":"
"Czechia","2004","Euro","Horses - prices per 100 kg live weight",":"
"Denmark","2004","Euro","Horses - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2004","Euro","Horses - prices per 100 kg live weight",":"
"Estonia","2004","Euro","Horses - prices per 100 kg live weight",":"
"Ireland","2004","Euro","Horses - prices per 100 kg live weight",":"
"Greece","2004","Euro","Horses - prices per 100 kg live weight",":"
"Spain","2004","Euro","Horses - prices per 100 kg live weight","147.41"
"France","2004","Euro","Horses - prices per 100 kg live weight",":"
"Croatia","2004","Euro","Horses - prices per 100 kg live weight",":"
"Italy","2004","Euro","Horses - prices per 100 kg live weight",":"
"Cyprus","2004","Euro","Horses - prices per 100 kg live weight",":"
"Latvia","2004","Euro","Horses - prices per 100 kg live weight","135.90"
"Lithuania","2004","Euro","Horses - prices per 100 kg live weight",":"
"Luxembourg","2004","Euro","Horses - prices per 100 kg live weight",":"
"Hungary","2004","Euro","Horses - prices per 100 kg live weight","148.36"
"Malta","2004","Euro","Horses - prices per 100 kg live weight","186.92"
"Netherlands","2004","Euro","Horses - prices per 100 kg live weight","75.90"
"Austria","2004","Euro","Horses - prices per 100 kg live weight","117.00"
"Poland","2004","Euro","Horses - prices per 100 kg live weight","130.34"
"Portugal","2004","Euro","Horses - prices per 100 kg live weight",":"
"Romania","2004","Euro","Horses - prices per 100 kg live weight",":"
"Slovenia","2004","Euro","Horses - prices per 100 kg live weight","158.59"
"Slovakia","2004","Euro","Horses - prices per 100 kg live weight","91.62"
"Finland","2004","Euro","Horses - prices per 100 kg live weight",":"
"Sweden","2004","Euro","Horses - prices per 100 kg live weight",":"
"United Kingdom","2004","Euro","Horses - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2004","Euro","Horses - prices per 100 kg live weight",":"
"Belgium","2005","Euro","Horses - prices per 100 kg live weight","126.14"
"Bulgaria","2005","Euro","Horses - prices per 100 kg live weight","76.78"
"Czechia","2005","Euro","Horses - prices per 100 kg live weight",":"
"Denmark","2005","Euro","Horses - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2005","Euro","Horses - prices per 100 kg live weight",":"
"Estonia","2005","Euro","Horses - prices per 100 kg live weight",":"
"Ireland","2005","Euro","Horses - prices per 100 kg live weight",":"
"Greece","2005","Euro","Horses - prices per 100 kg live weight",":"
"Spain","2005","Euro","Horses - prices per 100 kg live weight","147.46"
"France","2005","Euro","Horses - prices per 100 kg live weight",":"
"Croatia","2005","Euro","Horses - prices per 100 kg live weight",":"
"Italy","2005","Euro","Horses - prices per 100 kg live weight",":"
"Cyprus","2005","Euro","Horses - prices per 100 kg live weight",":"
"Latvia","2005","Euro","Horses - prices per 100 kg live weight","24.83"
"Lithuania","2005","Euro","Horses - prices per 100 kg live weight",":"
"Luxembourg","2005","Euro","Horses - prices per 100 kg live weight",":"
"Hungary","2005","Euro","Horses - prices per 100 kg live weight","147.86"
"Malta","2005","Euro","Horses - prices per 100 kg live weight","197.72"
"Netherlands","2005","Euro","Horses - prices per 100 kg live weight","73.55"
"Austria","2005","Euro","Horses - prices per 100 kg live weight","116.00"
"Poland","2005","Euro","Horses - prices per 100 kg live weight","150.24"
"Portugal","2005","Euro","Horses - prices per 100 kg live weight",":"
"Romania","2005","Euro","Horses - prices per 100 kg live weight",":"
"Slovenia","2005","Euro","Horses - prices per 100 kg live weight","147.09"
"Slovakia","2005","Euro","Horses - prices per 100 kg live weight","97.41"
"Finland","2005","Euro","Horses - prices per 100 kg live weight",":"
"Sweden","2005","Euro","Horses - prices per 100 kg live weight",":"
"United Kingdom","2005","Euro","Horses - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2005","Euro","Horses - prices per 100 kg live weight",":"
"Belgium","2006","Euro","Horses - prices per 100 kg live weight","127.75"
"Bulgaria","2006","Euro","Horses - prices per 100 kg live weight","77.29"
"Czechia","2006","Euro","Horses - prices per 100 kg live weight",":"
"Denmark","2006","Euro","Horses - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2006","Euro","Horses - prices per 100 kg live weight",":"
"Estonia","2006","Euro","Horses - prices per 100 kg live weight",":"
"Ireland","2006","Euro","Horses - prices per 100 kg live weight",":"
"Greece","2006","Euro","Horses - prices per 100 kg live weight",":"
"Spain","2006","Euro","Horses - prices per 100 kg live weight","159.76"
"France","2006","Euro","Horses - prices per 100 kg live weight",":"
"Croatia","2006","Euro","Horses - prices per 100 kg live weight",":"
"Italy","2006","Euro","Horses - prices per 100 kg live weight",":"
"Cyprus","2006","Euro","Horses - prices per 100 kg live weight",":"
"Latvia","2006","Euro","Horses - prices per 100 kg live weight","32.89"
"Lithuania","2006","Euro","Horses - prices per 100 kg live weight",":"
"Luxembourg","2006","Euro","Horses - prices per 100 kg live weight",":"
"Hungary","2006","Euro","Horses - prices per 100 kg live weight","149.21"
"Malta","2006","Euro","Horses - prices per 100 kg live weight","205.45"
"Netherlands","2006","Euro","Horses - prices per 100 kg live weight","61.70"
"Austria","2006","Euro","Horses - prices per 100 kg live weight","109.00"
"Poland","2006","Euro","Horses - prices per 100 kg live weight","157.90"
"Portugal","2006","Euro","Horses - prices per 100 kg live weight",":"
"Romania","2006","Euro","Horses - prices per 100 kg live weight",":"
"Slovenia","2006","Euro","Horses - prices per 100 kg live weight","158.43"
"Slovakia","2006","Euro","Horses - prices per 100 kg live weight","102.22"
"Finland","2006","Euro","Horses - prices per 100 kg live weight",":"
"Sweden","2006","Euro","Horses - prices per 100 kg live weight",":"
"United Kingdom","2006","Euro","Horses - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2006","Euro","Horses - prices per 100 kg live weight",":"
"Belgium","2007","Euro","Horses - prices per 100 kg live weight","145.45"
"Bulgaria","2007","Euro","Horses - prices per 100 kg live weight","78.57"
"Czechia","2007","Euro","Horses - prices per 100 kg live weight",":"
"Denmark","2007","Euro","Horses - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2007","Euro","Horses - prices per 100 kg live weight",":"
"Estonia","2007","Euro","Horses - prices per 100 kg live weight",":"
"Ireland","2007","Euro","Horses - prices per 100 kg live weight",":"
"Greece","2007","Euro","Horses - prices per 100 kg live weight",":"
"Spain","2007","Euro","Horses - prices per 100 kg live weight","186.42"
"France","2007","Euro","Horses - prices per 100 kg live weight",":"
"Croatia","2007","Euro","Horses - prices per 100 kg live weight",":"
"Italy","2007","Euro","Horses - prices per 100 kg live weight",":"
"Cyprus","2007","Euro","Horses - prices per 100 kg live weight",":"
"Latvia","2007","Euro","Horses - prices per 100 kg live weight","36.78"
"Lithuania","2007","Euro","Horses - prices per 100 kg live weight",":"
"Luxembourg","2007","Euro","Horses - prices per 100 kg live weight",":"
"Hungary","2007","Euro","Horses - prices per 100 kg live weight","152.95"
"Malta","2007","Euro","Horses - prices per 100 kg live weight","205.58"
"Netherlands","2007","Euro","Horses - prices per 100 kg live weight","64.15"
"Austria","2007","Euro","Horses - prices per 100 kg live weight","111.00"
"Poland","2007","Euro","Horses - prices per 100 kg live weight","162.28"
"Portugal","2007","Euro","Horses - prices per 100 kg live weight",":"
"Romania","2007","Euro","Horses - prices per 100 kg live weight",":"
"Slovenia","2007","Euro","Horses - prices per 100 kg live weight","176.47"
"Slovakia","2007","Euro","Horses - prices per 100 kg live weight","127.61"
"Finland","2007","Euro","Horses - prices per 100 kg live weight",":"
"Sweden","2007","Euro","Horses - prices per 100 kg live weight",":"
"United Kingdom","2007","Euro","Horses - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2007","Euro","Horses - prices per 100 kg live weight",":"
"Belgium","2008","Euro","Horses - prices per 100 kg live weight","130.38"
"Bulgaria","2008","Euro","Horses - prices per 100 kg live weight","96.53"
"Czechia","2008","Euro","Horses - prices per 100 kg live weight",":"
"Denmark","2008","Euro","Horses - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2008","Euro","Horses - prices per 100 kg live weight",":"
"Estonia","2008","Euro","Horses - prices per 100 kg live weight",":"
"Ireland","2008","Euro","Horses - prices per 100 kg live weight",":"
"Greece","2008","Euro","Horses - prices per 100 kg live weight",":"
"Spain","2008","Euro","Horses - prices per 100 kg live weight","166.25"
"France","2008","Euro","Horses - prices per 100 kg live weight",":"
"Croatia","2008","Euro","Horses - prices per 100 kg live weight",":"
"Italy","2008","Euro","Horses - prices per 100 kg live weight",":"
"Cyprus","2008","Euro","Horses - prices per 100 kg live weight",":"
"Latvia","2008","Euro","Horses - prices per 100 kg live weight","40.87"
"Lithuania","2008","Euro","Horses - prices per 100 kg live weight",":"
"Luxembourg","2008","Euro","Horses - prices per 100 kg live weight",":"
"Hungary","2008","Euro","Horses - prices per 100 kg live weight","145.39"
"Malta","2008","Euro","Horses - prices per 100 kg live weight","205.00"
"Netherlands","2008","Euro","Horses - prices per 100 kg live weight","52.20"
"Austria","2008","Euro","Horses - prices per 100 kg live weight","108.00"
"Poland","2008","Euro","Horses - prices per 100 kg live weight","167.93"
"Portugal","2008","Euro","Horses - prices per 100 kg live weight",":"
"Romania","2008","Euro","Horses - prices per 100 kg live weight",":"
"Slovenia","2008","Euro","Horses - prices per 100 kg live weight","157.40"
"Slovakia","2008","Euro","Horses - prices per 100 kg live weight","79.01"
"Finland","2008","Euro","Horses - prices per 100 kg live weight",":"
"Sweden","2008","Euro","Horses - prices per 100 kg live weight",":"
"United Kingdom","2008","Euro","Horses - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2008","Euro","Horses - prices per 100 kg live weight",":"
"Belgium","2009","Euro","Horses - prices per 100 kg live weight","101.53"
"Bulgaria","2009","Euro","Horses - prices per 100 kg live weight","122.99"
"Czechia","2009","Euro","Horses - prices per 100 kg live weight",":"
"Denmark","2009","Euro","Horses - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2009","Euro","Horses - prices per 100 kg live weight",":"
"Estonia","2009","Euro","Horses - prices per 100 kg live weight",":"
"Ireland","2009","Euro","Horses - prices per 100 kg live weight",":"
"Greece","2009","Euro","Horses - prices per 100 kg live weight",":"
"Spain","2009","Euro","Horses - prices per 100 kg live weight","168.29"
"France","2009","Euro","Horses - prices per 100 kg live weight",":"
"Croatia","2009","Euro","Horses - prices per 100 kg live weight",":"
"Italy","2009","Euro","Horses - prices per 100 kg live weight",":"
"Cyprus","2009","Euro","Horses - prices per 100 kg live weight",":"
"Latvia","2009","Euro","Horses - prices per 100 kg live weight","40.23"
"Lithuania","2009","Euro","Horses - prices per 100 kg live weight",":"
"Luxembourg","2009","Euro","Horses - prices per 100 kg live weight",":"
"Hungary","2009","Euro","Horses - prices per 100 kg live weight","130.64"
"Malta","2009","Euro","Horses - prices per 100 kg live weight",":"
"Netherlands","2009","Euro","Horses - prices per 100 kg live weight","47.45"
"Austria","2009","Euro","Horses - prices per 100 kg live weight","108.00"
"Poland","2009","Euro","Horses - prices per 100 kg live weight","136.40"
"Portugal","2009","Euro","Horses - prices per 100 kg live weight",":"
"Romania","2009","Euro","Horses - prices per 100 kg live weight",":"
"Slovenia","2009","Euro","Horses - prices per 100 kg live weight","183.25"
"Slovakia","2009","Euro","Horses - prices per 100 kg live weight","45.00"
"Finland","2009","Euro","Horses - prices per 100 kg live weight",":"
"Sweden","2009","Euro","Horses - prices per 100 kg live weight",":"
"United Kingdom","2009","Euro","Horses - prices per 100 kg live weight",":"
"Kosovo (under United Nations Security Council Resolution 1244/99)","2009","Euro","Horses - prices per 100 kg live weight",":"
"Belgium","2010","Euro","Horses - prices per 100 kg live weight","87.17"
"Bulgaria","2010","Euro","Horses - prices per 100 kg live weight","119.74"
"Czechia","2010","Euro","Horses - prices per 100 kg live weight",":"
"Denmark","2010","Euro","Horses - prices per 100 kg live weight",":"
"Germany (until 1990 former territory of the FRG)","2010","Euro","Horses - prices per 100 kg live weight",":"
"Estonia","2010","Euro","Horses - prices per 100 kg live weight",":"
"Ireland","2010","Euro","Horses - prices per 100 kg live weight",":"
"Greece","2010","Euro","Horses - prices per 100 kg live weight",":"
"Spain","2010","Euro","Horses - prices per 100 kg live weight","186.24"
"France","2010","Euro","Horses - prices per 100 kg live weight","212.50"
"Croatia","2010","Euro","Horses - prices per 100 kg live weight",":"
"Italy","2010","Euro","Horses - prices per 100 kg live weight",":"
"Cyprus","2010","Euro","Horses - prices per 100 kg live weight",":"
"Latvia","2010","Euro","Horses - prices per 100 kg live weight","33.47"
